Time (EET),Open,High,Low,Close,Volume 
2024.05.09 00:00:00,0.86019,0.86155,0.86011,0.86042,399.04
2024.05.09 00:15:00,0.86041,0.86045,0.86012,0.86012,434.33
2024.05.09 00:30:00,0.86013,0.86023,0.85995,0.86018,625.03
2024.05.09 00:45:00,0.86019,0.86033,0.86015,0.86027,431.4
2024.05.09 01:00:00,0.86028,0.86028,0.86011,0.8602,219.3
2024.05.09 01:15:00,0.8602,0.86024,0.86015,0.86022,121.2
2024.05.09 01:30:00,0.86021,0.86023,0.86017,0.86022,145.8
2024.05.09 01:45:00,0.86022,0.86022,0.86016,0.86017,67.5
2024.05.09 02:00:00,0.86017,0.86022,0.86015,0.86015,50.79
2024.05.09 02:15:00,0.86016,0.86022,0.86015,0.86016,57.97
2024.05.09 02:30:00,0.86017,0.86027,0.86017,0.86021,64.2
2024.05.09 02:45:00,0.86022,0.86028,0.86018,0.86025,96.9
2024.05.09 03:00:00,0.86025,0.86033,0.86022,0.86027,188.13
2024.05.09 03:15:00,0.86029,0.86036,0.86027,0.86031,124.8
2024.05.09 03:30:00,0.86031,0.86032,0.86023,0.86026,87
2024.05.09 03:45:00,0.86022,0.8603,0.86012,0.86019,271.12
2024.05.09 04:00:00,0.8602,0.86024,0.86011,0.86012,665.52
2024.05.09 04:15:00,0.86011,0.86022,0.8601,0.86018,937.45
2024.05.09 04:30:00,0.86017,0.86021,0.86005,0.86009,637.5
2024.05.09 04:45:00,0.8601,0.86017,0.86009,0.86013,125.4
2024.05.09 05:00:00,0.86012,0.86017,0.86009,0.86016,205.56
2024.05.09 05:15:00,0.86015,0.86017,0.86011,0.86015,358.2
2024.05.09 05:30:00,0.86015,0.86017,0.86011,0.86016,375.6
2024.05.09 05:45:00,0.86018,0.86024,0.86015,0.86019,304.26
2024.05.09 06:00:00,0.86019,0.86022,0.8601,0.86016,568.42
2024.05.09 06:15:00,0.86015,0.86016,0.86,0.86002,683.4
2024.05.09 06:30:00,0.86001,0.86009,0.85999,0.86008,850.42
2024.05.09 06:45:00,0.86008,0.86017,0.86,0.86009,879.26
2024.05.09 07:00:00,0.86009,0.86025,0.86008,0.86023,1187.76
2024.05.09 07:15:00,0.86021,0.86029,0.8602,0.86026,829.23
2024.05.09 07:30:00,0.86026,0.86031,0.86021,0.86025,1677.03
2024.05.09 07:45:00,0.86026,0.86039,0.86021,0.86021,1210.38
2024.05.09 08:00:00,0.86025,0.86026,0.86017,0.86024,550.08
2024.05.09 08:15:00,0.86025,0.86025,0.8602,0.86024,360.93
2024.05.09 08:30:00,0.86023,0.86025,0.86018,0.86022,715.41
2024.05.09 08:45:00,0.86023,0.86028,0.8602,0.86024,277.28
2024.05.09 09:00:00,0.86025,0.86066,0.86012,0.86065,565.36
2024.05.09 09:15:00,0.86065,0.86065,0.86043,0.86043,509.04
2024.05.09 09:30:00,0.86041,0.86055,0.8604,0.86048,482.35
2024.05.09 09:45:00,0.86048,0.86062,0.8604,0.86041,609.77
2024.05.09 10:00:00,0.86043,0.86064,0.86019,0.86031,917.76
2024.05.09 10:15:00,0.8603,0.86055,0.86025,0.86047,805.54
2024.05.09 10:30:00,0.86045,0.86061,0.86033,0.86036,714.69
2024.05.09 10:45:00,0.86037,0.86044,0.86016,0.86038,985.23
2024.05.09 11:00:00,0.86037,0.86053,0.86028,0.86034,793.33
2024.05.09 11:15:00,0.86033,0.86036,0.86023,0.86024,604.42
2024.05.09 11:30:00,0.86024,0.86024,0.8599,0.86001,665.49
2024.05.09 11:45:00,0.86002,0.86016,0.85995,0.86012,612.04
2024.05.09 12:00:00,0.86012,0.86017,0.85986,0.8601,645.85
2024.05.09 12:15:00,0.8601,0.86022,0.85997,0.86001,653.75
2024.05.09 12:30:00,0.86001,0.86001,0.85944,0.85948,625.35
2024.05.09 12:45:00,0.85948,0.85958,0.85923,0.85936,484.5
2024.05.09 13:00:00,0.85935,0.85962,0.85922,0.85927,740.79
2024.05.09 13:15:00,0.85926,0.85933,0.85913,0.85918,538.62
2024.05.09 13:30:00,0.85917,0.85954,0.85915,0.8595,463.07
2024.05.09 13:45:00,0.85948,0.85992,0.8594,0.85992,1023.59
2024.05.09 14:00:00,0.85994,0.8621,0.85983,0.8615,3384.68
2024.05.09 14:15:00,0.86151,0.86171,0.86106,0.86132,1082.62
2024.05.09 14:30:00,0.8613,0.86157,0.8594,0.8609,3221.41
2024.05.09 14:45:00,0.8609,0.86108,0.86005,0.86031,2808.64
2024.05.09 15:00:00,0.8603,0.86045,0.85974,0.85983,1368.49
2024.05.09 15:15:00,0.85985,0.86088,0.85985,0.86083,1221.98
2024.05.09 15:30:00,0.86078,0.86085,0.85982,0.86021,3088.62
